GENE_NAME,UniProt_ID,PDB_ID,CHAIN,RESIDUE_RANGE
AADAT,Q8N5Z0,2QLR,A/B/C/D,1-425
AADAT,Q8N5Z0,2R2N,A/B/C/D,1-425
AADAT,Q8N5Z0,2VGZ,A/B,2-425
AADAT,Q8N5Z0,2XH1,A/B,1-425
AADAT,Q8N5Z0,3DC1,A/B/C/D,1-425
AADAT,Q8N5Z0,3UE8,A/B,1-425
AADAT,Q8N5Z0,4GDY,A/B,1-425
AADAT,Q8N5Z0,4GE4,A/B,1-425
AADAT,Q8N5Z0,4GE7,A/B,1-425
AADAT,Q8N5Z0,4GE9,A/B/C/D,1-425
AADAT,Q8N5Z0,4GEB,A/B,1-425
AADAT,Q8N5Z0,5EFS,A,1-425
AADAT,Q8N5Z0,5EUN,A,1-425
AADAT,Q8N5Z0,5TF5,A/B,1-425
AADAT,Q8N5Z0,6D0A,A,1-425
AADAT,Q8N5Z0,6T8P,A/B,1-425
AADAT,Q8N5Z0,6T8Q,A,1-425
AANAT,Q16613,6T80,E/F/G/H,197-207
AARS,P49588,4XEM,A,1-455
AARS,P49588,4XEO,A/B,1-455
AARS,P49588,5KNN,A/B/C/D/E/F/G/H,4-453
AARS,P49588,5T5S,A,757-965
AARS,P49588,5T76,A,757-965
AARS,P49588,5V59,A,1-455
AARS1,P49588,4XEM,A,1-455
AARS1,P49588,4XEO,A/B,1-455
AARS1,P49588,5KNN,A/B/C/D/E/F/G/H,4-453
AARS1,P49588,5T5S,A,757-965
AARS1,P49588,5T76,A,757-965
AARS1,P49588,5V59,A,1-455
AARS2,Q5JTZ9,6NLQ,A/B/C/D,873-985
AARS2,Q5JTZ9,6NLY,A/B/C/D,802-985
AARS2,Q5JTZ9,6NOW,A/B,783-985
AASDHPPT,Q9NRN7,2BYD,A,14-309
AASDHPPT,Q9NRN7,2C43,A,14-309
AASDHPPT,Q9NRN7,2CG5,A,14-309
AASS,Q9UDR5,5L76,A,455-926
AASS,Q9UDR5,5L78,A/B,455-926
AASS,Q9UDR5,5O1N,A,455-926
AASS,Q9UDR5,5O1O,A/B,455-926
AASS,Q9UDR5,5O1P,A,455-926
AASS,Q9UDR5,8DDA,A/B/C/D,1-476
AASS,Q9UDR5,8E8T,A/B,21-452
AASS,Q9UDR5,8E8U,A/B/C/D,21-470
AASS,Q9UDR5,8E8V,A/B/C/D,21-452
ABCB10,Q9NRK6,3ZDQ,A,152-738
ABCB10,Q9NRK6,4AYT,A,152-738
ABCB10,Q9NRK6,4AYW,A,1-738
ABCB10,Q9NRK6,4AYX,A,152-738
ABCB10,Q9NRK6,7Y48,B,152-738
ABCB10,Q9NRK6,7Y49,A,152-738
ABCB4,P21439,6S7P,A,1-1286
ABCB4,P21439,7NIU,A,1-1286
ABCB4,P21439,7NIV,A,1-1286
ABCB4,P21439,7NIW,A,1-1286
ABCB7,O75027,7VGF,A/B,72-751
ABCC8,Q09428,6C3O,E/F/G/H,1-1581
ABCC8,Q09428,6C3P,E/F/G/H,1-1581
ABCC8,Q09428,7S5V,E,2-1581
ABCC8,Q09428,7S5X,E,2-1581
ABCC8,Q09428,7S5Y,E,2-1581
ABCC8,Q09428,7S5Z,E,2-1581
ABCC8,Q09428,7S60,E,2-1581
ABCC8,Q09428,7S61,E,2-1581
ABHD6,Q9BV23,7OTS,A/B,43-337
ABLIM2,Q6H8Q1,1V6G,A,73-140
ABLIM2,Q6H8Q1,1WIG,A,212-271
ABLIM2,Q6H8Q1,2L3X,A,546-611
ABO,P16442,1LZ0,A,64-354
ABO,P16442,1LZ7,A,64-354
ABO,P16442,1LZI,A,64-354
ABO,P16442,1LZJ,A,64-354
ABO,P16442,1R7T,A,64-345
ABO,P16442,1R7U,A,64-345
ABO,P16442,1R7V,A,64-345
ABO,P16442,1R7X,A,64-345
ABO,P16442,1R7Y,A,64-345
ABO,P16442,1R80,A,64-345
ABO,P16442,1R81,A,64-345
ABO,P16442,1R82,A,64-345
ABO,P16442,1WSZ,A,64-354
ABO,P16442,1WT0,A,64-354
ABO,P16442,1WT1,A,64-354
